scenario,seed,window_start,window_end,attack_label,legal_mbps,aggregate_mbps,attacker_mbps,burst_rate,burst_loss_rate,rate_cv,active_sources
S0,404,0.75,1.0,0,69.323488,69.323488,0.0,0.0,0.0,0.0,0
S0,404,1.0,1.25,0,69.335296,69.335296,0.0,0.0,0.0,0.0,0
S0,404,1.25,1.5,0,69.265792,69.265792,0.0,0.0,0.0,0.0,0
S0,404,1.5,1.75,0,69.250272,69.250272,0.0,0.0,0.0,0.0,0
S0,404,1.75,2.0,0,69.336064,69.336064,0.0,0.0,0.0,0.0,0
S0,404,2.0,2.25,0,69.346464,69.346464,0.0,0.0,0.0,0.0,0
S0,404,2.25,2.5,0,69.263104,69.263104,0.0,0.0,0.0,0.0,0
S0,404,2.5,2.75,0,69.354688,69.354688,0.0,0.0,0.0,0.0,0
S0,404,2.75,3.0,0,69.274784,69.274784,0.0,0.0,0.0,0.0,0
S0,404,3.0,3.25,0,69.283776,69.283776,0.0,0.0,0.0,0.0,0
S0,404,3.25,3.5,0,69.265952,69.265952,0.0,0.0,0.0,0.0,0
S0,404,3.5,3.75,0,69.293344,69.293344,0.0,0.0,0.0,0.0,0
S0,404,3.75,4.0,0,69.304064,69.304064,0.0,0.0,0.0,0.0,0
S0,404,4.0,4.25,0,69.302368,69.302368,0.0,0.0,0.0,0.0,0
S0,404,4.25,4.5,0,69.335072,69.335072,0.0,0.0,0.0,0.0,0
S0,404,4.5,4.75,0,69.33328,69.33328,0.0,0.0,0.0,0.0,0
S0,404,4.75,5.0,0,69.287328,69.287328,0.0,0.0,0.0,0.0,0
S0,505,0.0,0.25,0,69.312608,69.312608,0.0,0.0,0.0,0.0,0
S0,505,0.25,0.5,0,69.251648,69.251648,0.0,0.0,0.0,0.0,0
S0,505,0.5,0.75,0,69.282976,69.282976,0.0,0.0,0.0,0.0,0
S0,505,0.75,1.0,0,69.30944,69.30944,0.0,0.0,0.0,0.0,0
S0,505,1.0,1.25,0,69.317984,69.317984,0.0,0.0,0.0,0.0,0
S0,505,1.25,1.5,0,69.277888,69.277888,0.0,0.0,0.0,0.0,0
S0,505,1.5,1.75,0,69.176608,69.176608,0.0,0.0,0.0,0.0,0
S0,505,1.75,2.0,0,69.349888,69.349888,0.0,0.0,0.0,0.0,0
S0,505,2.0,2.25,0,69.314912,69.314912,0.0,0.0,0.0,0.0,0
S0,505,2.25,2.5,0,69.24784,69.24784,0.0,0.0,0.0,0.0,0
S0,505,2.5,2.75,0,69.31456,69.31456,0.0,0.0,0.0,0.0,0
S0,505,2.75,3.0,0,69.28032,69.28032,0.0,0.0,0.0,0.0,0
S0,505,3.0,3.25,0,69.321504,69.321504,0.0,0.0,0.0,0.0,0
S0,505,3.25,3.5,0,69.249888,69.249888,0.0,0.0,0.0,0.0,0
S0,505,3.5,3.75,0,69.298976,69.298976,0.0,0.0,0.0,0.0,0
S0,505,3.75,4.0,0,69.29792,69.29792,0.0,0.0,0.0,0.0,0
S0,505,4.0,4.25,0,69.363424,69.363424,0.0,0.0,0.0,0.0,0
S0,505,4.25,4.5,0,69.269824,69.269824,0.0,0.0,0.0,0.0,0
S0,505,4.5,4.75,0,69.321792,69.321792,0.0,0.0,0.0,0.0,0
S0,505,4.75,5.0,0,69.270464,69.270464,0.0,0.0,0.0,0.0,0
S0,606,0.0,0.25,0,69.283808,69.283808,0.0,0.0,0.0,0.0,0
S0,606,0.25,0.5,0,69.271008,69.271008,0.0,0.0,0.0,0.0,0
S0,606,0.5,0.75,0,69.225536,69.225536,0.0,0.0,0.0,0.0,0
S0,606,0.75,1.0,0,69.304832,69.304832,0.0,0.0,0.0,0.0,0
S0,606,1.0,1.25,0,69.36352,69.36352,0.0,0.0,0.0,0.0,0
S0,606,1.25,1.5,0,69.354688,69.354688,0.0,0.0,0.0,0.0,0
S0,606,1.5,1.75,0,69.28864,69.28864,0.0,0.0,0.0,0.0,0
S0,606,1.75,2.0,0,69.37568,69.37568,0.0,0.0,0.0,0.0,0
S0,606,2.0,2.25,0,69.298304,69.298304,0.0,0.0,0.0,0.0,0
S0,606,2.25,2.5,0,69.324512,69.324512,0.0,0.0,0.0,0.0,0
S0,606,2.5,2.75,0,69.384928,69.384928,0.0,0.0,0.0,0.0,0
S0,606,2.75,3.0,0,69.265184,69.265184,0.0,0.0,0.0,0.0,0
S0,606,3.0,3.25,0,69.33168,69.33168,0.0,0.0,0.0,0.0,0
S0,606,3.25,3.5,0,69.29584,69.29584,0.0,0.0,0.0,0.0,0
S0,606,3.5,3.75,0,69.275936,69.275936,0.0,0.0,0.0,0.0,0
S0,606,3.75,4.0,0,69.311584,69.311584,0.0,0.0,0.0,0.0,0
S0,606,4.0,4.25,0,69.244032,69.244032,0.0,0.0,0.0,0.0,0
S0,606,4.25,4.5,0,69.318912,69.318912,0.0,0.0,0.0,0.0,0
S0,606,4.5,4.75,0,69.26336,69.26336,0.0,0.0,0.0,0.0,0
S0,606,4.75,5.0,0,69.286656,69.286656,0.0,0.0,0.0,0.0,0
S0,707,0.0,0.25,0,69.259072,69.259072,0.0,0.0,0.0,0.0,0
S0,707,0.25,0.5,0,69.33088,69.33088,0.0,0.0,0.0,0.0,0
S0,707,0.5,0.75,0,69.272384,69.272384,0.0,0.0,0.0,0.0,0
S0,707,0.75,1.0,0,69.345056,69.345056,0.0,0.0,0.0,0.0,0
S0,707,1.0,1.25,0,69.270496,69.270496,0.0,0.0,0.0,0.0,0
S0,707,1.25,1.5,0,69.235328,69.235328,0.0,0.0,0.0,0.0,0
S0,707,1.5,1.75,0,69.364448,69.364448,0.0,0.0,0.0,0.0,0
S0,707,1.75,2.0,0,69.244512,69.244512,0.0,0.0,0.0,0.0,0
S0,707,2.0,2.25,0,69.300672,69.300672,0.0,0.0,0.0,0.0,0
S0,707,2.25,2.5,0,69.335808,69.335808,0.0,0.0,0.0,0.0,0
S0,707,2.5,2.75,0,69.194752,69.194752,0.0,0.0,0.0,0.0,0
S0,707,2.75,3.0,0,69.33808,69.33808,0.0,0.0,0.0,0.0,0
S0,707,3.0,3.25,0,69.35968,69.35968,0.0,0.0,0.0,0.0,0
S0,707,3.25,3.5,0,69.271616,69.271616,0.0,0.0,0.0,0.0,0
S0,707,3.5,3.75,0,69.319424,69.319424,0.0,0.0,0.0,0.0,0
S0,707,3.75,4.0,0,69.321568,69.321568,0.0,0.0,0.0,0.0,0
S0,707,4.0,4.25,0,69.366944,69.366944,0.0,0.0,0.0,0.0,0
S0,707,4.25,4.5,0,69.289984,69.289984,0.0,0.0,0.0,0.0,0
S0,707,4.5,4.75,0,69.373504,69.373504,0.0,0.0,0.0,0.0,0
S0,707,4.75,5.0,0,69.283008,69.283008,0.0,0.0,0.0,0.0,0
S0,808,0.0,0.25,0,69.307712,69.307712,0.0,0.0,0.0,0.0,0
S0,808,0.25,0.5,0,69.276384,69.276384,0.0,0.0,0.0,0.0,0
S0,808,0.5,0.75,0,69.329952,69.329952,0.0,0.0,0.0,0.0,0
S0,808,0.75,1.0,0,69.312096,69.312096,0.0,0.0,0.0,0.0,0
S0,808,1.0,1.25,0,69.284928,69.284928,0.0,0.0,0.0,0.0,0
S0,808,1.25,1.5,0,69.300128,69.300128,0.0,0.0,0.0,0.0,0
S0,808,1.5,1.75,0,69.326208,69.326208,0.0,0.0,0.0,0.0,0
S0,808,1.75,2.0,0,69.329888,69.329888,0.0,0.0,0.0,0.0,0
S0,808,2.0,2.25,0,69.351104,69.351104,0.0,0.0,0.0,0.0,0
S0,808,2.25,2.5,0,69.276512,69.276512,0.0,0.0,0.0,0.0,0
S0,808,2.5,2.75,0,69.30096,69.30096,0.0,0.0,0.0,0.0,0
S0,808,2.75,3.0,0,69.284192,69.284192,0.0,0.0,0.0,0.0,0
S0,808,3.0,3.25,0,69.30656,69.30656,0.0,0.0,0.0,0.0,0
S0,808,3.25,3.5,0,69.300608,69.300608,0.0,0.0,0.0,0.0,0
