model,seed,fold,train_size,test_size,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc
SVM-RBF,73,3,855,220,0.7045454545,0.6909090909,0.6615909091,0.6909090909,0.667524485,0.5279220005
KNN,73,3,855,220,0.5909090909,0.6211038961,0.5725,0.6211038961,0.5886651469,0.3487446237
GaussianNB,73,3,855,220,0.6136363636,0.7483766234,0.6701680672,0.7483766234,0.6652327935,0.4646277075
DecisionTree,73,4,865,210,0.6428571429,0.7242647059,0.7208333333,0.7242647059,0.7200772201,0.4902429645
SVM-RBF,73,4,865,210,0.7142857143,0.7183823529,0.8188405797,0.7183823529,0.7543650794,0.5923544282
KNN,73,4,865,210,0.6904761905,0.6683823529,0.7166666667,0.6683823529,0.684859877,0.5560484065
GaussianNB,73,4,865,210,0.619047619,0.7095588235,0.6378205128,0.7095588235,0.6284722222,0.5064008865
DecisionTree,73,5,860,215,0.7674418605,0.775,0.8236714976,0.775,0.7935390803,0.6533639226
SVM-RBF,73,5,860,215,0.6744186047,0.71875,0.7495098039,0.71875,0.7242471042,0.5398661717
KNN,73,5,860,215,0.6046511628,0.60625,0.6634199134,0.60625,0.6310491676,0.4126188701
GaussianNB,73,5,860,215,0.7209302326,0.76875,0.739973262,0.76875,0.7483997155,0.6061940196
DecisionTree,101,1,860,215,0.7674418605,0.8390151515,0.8390151515,0.8390151515,0.8390151515,0.6355932203
SVM-RBF,101,1,860,215,0.7441860465,0.8276515152,0.7781385281,0.8276515152,0.796553758,0.6087525176
KNN,101,1,860,215,0.6744186047,0.6912878788,0.6673534799,0.6912878788,0.6697619048,0.5029911363
GaussianNB,101,1,860,215,0.6511627907,0.7537878788,0.6584795322,0.7537878788,0.6710220674,0.4983970445
DecisionTree,101,2,860,215,0.7441860465,0.8371212121,0.7902255639,0.8371212121,0.8089952053,0.6153957196
SVM-RBF,101,2,860,215,0.8139534884,0.8515151515,0.8403508772,0.8515151515,0.8369467028,0.7220088
KNN,101,2,860,215,0.6279069767,0.6935606061,0.6816176471,0.6935606061,0.6762452107,0.4507194194
GaussianNB,101,2,860,215,0.6511627907,0.7151515152,0.6666666667,0.7151515152,0.6628851541,0.5069452687
DecisionTree,101,3,860,215,0.7674418605,0.8076923077,0.8000992063,0.8076923077,0.7857526882,0.7016933603
SVM-RBF,101,3,860,215,0.7209302326,0.714010989,0.7578947368,0.714010989,0.7214435545,0.6288809762
KNN,101,3,860,215,0.6279069767,0.6206043956,0.6750776398,0.6206043956,0.6148724083,0.516405167
GaussianNB,101,3,860,215,0.6744186047,0.7307692308,0.6762820513,0.7307692308,0.6802380952,0.5823008959
DecisionTree,101,4,855,220,0.7272727273,0.8139097744,0.8139097744,0.8139097744,0.8139097744,0.598173516
SVM-RBF,101,4,855,220,0.7272727273,0.7420112782,0.8243006993,0.7420112782,0.7761299225,0.5911712987
KNN,101,4,855,220,0.7045454545,0.7734962406,0.7424242424,0.7734962406,0.7457692308,0.569577858
GaussianNB,101,4,855,220,0.7272727273,0.8139097744,0.7543077837,0.8139097744,0.7378019324,0.6394071675
DecisionTree,101,5,865,210,0.8571428571,0.8854166667,0.8854166667,0.8854166667,0.8854166667,0.7636022514
SVM-RBF,101,5,865,210,0.7380952381,0.7291666667,0.7903491436,0.7291666667,0.7354287556,0.5729011994
KNN,101,5,865,210,0.6904761905,0.6388888889,0.6426218709,0.6388888889,0.6270954223,0.494395978
GaussianNB,101,5,865,210,0.7142857143,0.7881944444,0.6972222222,0.7881944444,0.7063492063,0.5946318843
DecisionTree,2026,1,860,215,0.8139534884,0.827020202,0.8077122153,0.827020202,0.8133838384,0.7153948217
SVM-RBF,2026,1,860,215,0.6976744186,0.74004329,0.7273109244,0.74004329,0.7242076764,0.573093499
KNN,2026,1,860,215,0.6744186047,0.69004329,0.7033730159,0.69004329,0.6863871636,0.5304416499
GaussianNB,2026,1,860,215,0.7441860465,0.8093434343,0.7344771242,0.8093434343,0.7524580682,0.6448145046
DecisionTree,2026,2,860,215,0.8604651163,0.8981900452,0.8785014006,0.8981900452,0.8866515837,0.8041242624
SVM-RBF,2026,2,860,215,0.8372093023,0.8414673562,0.8896761134,0.8414673562,0.858974359,0.7684654057
KNN,2026,2,860,215,0.6511627907,0.66822883,0.7221153846,0.66822883,0.6831411831,0.4982629413
GaussianNB,2026,2,860,215,0.6744186047,0.7369101487,0.7103174603,0.7369101487,0.7000418936,0.5729875927
DecisionTree,2026,3,860,215,0.6976744186,0.7950980392,0.7956349206,0.7950980392,0.7950738916,0.5595911504
SVM-RBF,2026,3,860,215,0.6511627907,0.6778361345,0.7875,0.6778361345,0.7212676963,0.4815555201
KNN,2026,3,860,215,0.5348837209,0.5393207283,0.6242260062,0.5393207283,0.5690836941,0.30383514
GaussianNB,2026,3,860,215,0.5348837209,0.6862745098,0.6569444444,0.6862745098,0.6142450142,0.4203120535
DecisionTree,2026,4,855,220,0.8181818182,0.8614718615,0.8614718615,0.8614718615,0.8614718615,0.7279752705
SVM-RBF,2026,4,855,220,0.7954545455,0.8193993506,0.84375,0.8193993506,0.8266447368,0.6919676631
KNN,2026,4,855,220,0.6818181818,0.709280303,0.6882575758,0.709280303,0.6924422336,0.5337131886
GaussianNB,2026,4,855,220,0.7272727273,0.7705627706,0.7023809524,0.7705627706,0.6889880952,0.6215450816
DecisionTree,2026,5,865,210,0.6428571429,0.7472826087,0.7467948718,0.7472826087,0.7448979592,0.3866968059
SVM-RBF,2026,5,865,210,0.7619047619,0.8414855072,0.8190287973,0.8414855072,0.8285953177,0.6043504566
KNN,2026,5,865,210,0.5952380952,0.4764492754,0.462962963,0.4764492754,0.4676190476,0.2897365029
GaussianNB,2026,5,865,210,0.7142857143,0.8097826087,0.6628787879,0.8097826087,0.6943236715,0.5380289615
